109/02/14,1.20,1.20,1.20,1.20,20000,24000,0.00,1
109/02/17,---,---,---,---,0,0,---,0
109/02/18,1.08,1.09,1.07,1.08,91000,98580,-0.08,4
109/02/19,1.14,1.14,1.14,1.14,2000,2280,+0.06,2
109/02/20,1.02,1.11,1.02,1.11,102000,113040,-0.03,3
109/02/21,1.05,1.09,1.04,1.07,668000,708380,-0.04,14
109/02/24,1.15,1.20,1.13,1.20,658000,755890,+0.13,17
109/02/25,1.17,1.19,1.05,1.07,415000,461850,-0.13,11
109/02/26,1.05,1.07,1.04,1.07,361000,379270,0.00,5
109/02/27,1.12,1.16,1.12,1.16,411000,462730,+0.09,3
109/03/02,1.26,1.26,1.12,1.14,150000,172900,-0.02,8
109/03/03,0.97,0.99,0.97,0.99,30000,29500,-0.15,2
109/03/04,---,---,---,---,0,0,---,0
109/03/05,0.82,0.82,0.79,0.79,21000,16650,-0.12,5
109/03/06,0.86,0.89,0.84,0.89,192000,169340,+0.10,10
109/03/09,1.00,1.13,1.00,1.13,331000,355340,+0.24,15
109/03/10,1.14,1.18,1.03,1.03,205000,225680,-0.10,11
109/03/11,1.04,1.06,1.02,1.06,113000,117210,+0.03,9
109/03/12,1.48,1.50,1.48,1.50,30000,44800,+0.44,2
109/03/13,---,---,---,---,0,0,---,0
109/03/16,1.52,1.56,1.51,1.56,165000,253020,-0.08,7
109/03/17,1.83,1.83,1.65,1.66,57000,100070,+0.10,6
109/03/18,1.60,1.60,1.60,1.60,10000,16000,-0.06,1
109/03/19,1.85,2.10,1.85,2.10,20000,39000,+0.50,3
109/03/20,1.76,1.76,1.76,1.76,10000,17600,-0.34,1
109/03/23,---,---,---,---,0,0,---,0
109/03/24,1.40,1.40,1.40,1.40,5000,7000,-0.03,1
109/03/25,---,---,---,---,0,0,---,0
109/03/26,---,---,---,---,0,0,---,0
109/03/27,---,---,---,---,0,0,---,0
109/03/30,---,---,---,---,0,0,---,0
109/03/31,---,---,---,---,0,0,---,0
109/04/01,---,---,---,---,0,0,---,0
109/04/06,---,---,---,---,0,0,---,0
109/04/07,---,---,---,---,0,0,---,0
109/04/08,1.09,1.09,1.09,1.09,10000,10900,+0.07,1
109/04/09,1.18,1.18,1.18,1.18,13000,15340,+0.09,2
109/04/10,---,---,---,---,0,0,---,0
109/04/13,---,---,---,---,0,0,---,0
109/04/14,0.89,0.89,0.89,0.89,3000,2670,-0.20,1
109/04/15,---,---,---,---,0,0,---,0
109/04/16,---,---,---,---,0,0,---,0
109/04/17,---,---,---,---,0,0,---,0
109/04/20,0.86,0.86,0.86,0.86,15000,12900,-0.03,1
109/04/21,---,---,---,---,0,0,---,0
109/04/22,---,---,---,---,0,0,---,0
109/04/23,---,---,---,---,0,0,---,0
109/04/24,---,---,---,---,0,0,---,0
109/04/27,0.82,0.82,0.82,0.82,10000,8200,-0.11,1
109/04/28,---,---,---,---,0,0,---,0
109/04/29,---,---,---,---,0,0,---,0
109/04/30,---,---,---,---,0,0,---,0
109/05/04,---,---,---,---,0,0,---,0
109/05/05,---,---,---,---,0,0,---,0
109/05/06,---,---,---,---,0,0,---,0
109/05/07,---,---,---,---,0,0,---,0
109/05/08,0.50,0.50,0.50,0.50,5000,2500,-0.03,1
109/05/11,---,---,---,---,0,0,---,0
109/05/12,0.44,0.44,0.44,0.44,100000,44000,+0.02,1
109/05/13,---,---,---,---,0,0,---,0
109/05/14,---,---,---,---,0,0,---,0
109/05/15,0.42,0.42,0.42,0.42,100000,42000,-0.04,1
109/05/18,0.57,0.68,0.57,0.65,96000,57140,+0.23,11
109/05/19,0.59,0.62,0.57,0.62,121000,71470,-0.03,3
109/05/20,0.61,0.61,0.59,0.59,175000,105650,-0.03,3
109/05/21,0.51,0.52,0.51,0.52,205000,104600,-0.07,2
109/05/22,0.52,0.53,0.51,0.51,267000,137900,-0.01,7
109/05/25,0.54,0.54,0.49,0.49,62000,33230,-0.02,2
109/05/26,0.46,0.46,0.46,0.46,150000,69000,-0.03,2
109/05/27,---,---,---,---,0,0,---,0
109/05/28,---,---,---,---,0,0,---,0
109/05/29,0.47,0.47,0.45,0.45,220000,99400,-0.01,2
109/06/01,0.43,0.43,0.41,0.43,430000,178800,-0.02,17
109/06/02,0.37,0.37,0.37,0.37,60000,22200,-0.06,1
109/06/03,---,---,---,---,0,0,---,0
109/06/04,---,---,---,---,0,0,---,0
109/06/05,---,---,---,---,0,0,---,0
109/06/08,---,---,---,---,0,0,---,0
109/06/09,---,---,---,---,0,0,---,0
109/06/10,---,---,---,---,0,0,---,0
109/06/11,---,---,---,---,0,0,---,0
109/06/12,---,---,---,---,0,0,---,0
109/06/15,---,---,---,---,0,0,---,0
109/06/16,---,---,---,---,0,0,---,0
109/06/17,---,---,---,---,0,0,---,0
109/06/18,---,---,---,---,0,0,---,0
109/06/19,---,---,---,---,0,0,---,0
109/06/22,---,---,---,---,0,0,---,0
109/06/23,---,---,---,---,0,0,---,0
109/06/24,---,---,---,---,0,0,---,0
109/06/29,---,---,---,---,0,0,---,0
109/06/30,---,---,---,---,0,0,---,0
109/07/01,---,---,---,---,0,0,---,0
109/07/02,---,---,---,---,0,0,---,0
109/07/03,---,---,---,---,0,0,---,0
109/07/06,---,---,---,---,0,0,---,0
109/07/07,---,---,---,---,0,0,---,0
109/07/08,---,---,---,---,0,0,---,0
109/07/09,---,---,---,---,0,0,---,0
109/07/10,---,---,---,---,0,0,---,0
109/07/13,---,---,---,---,0,0,---,0
109/07/14,---,---,---,---,0,0,---,0
109/07/15,---,---,---,---,0,0,---,0
109/07/16,---,---,---,---,0,0,---,0
109/07/17,---,---,---,---,0,0,---,0
109/07/20,---,---,---,---,0,0,---,0
109/07/21,---,---,---,---,0,0,---,0
109/07/22,---,---,---,---,0,0,---,0
109/07/23,---,---,---,---,0,0,---,0
109/07/24,---,---,---,---,0,0,---,0
109/07/27,---,---,---,---,0,0,---,0
109/07/28,---,---,---,---,0,0,---,0
109/07/29,---,---,---,---,0,0,---,0
109/07/30,---,---,---,---,0,0,---,0
109/07/31,---,---,---,---,0,0,---,0
109/08/03,---,---,---,---,0,0,---,0
109/08/04,---,---,---,---,0,0,---,0
109/08/05,---,---,---,---,0,0,---,0
109/08/06,---,---,---,---,0,0,---,0
109/08/07,---,---,---,---,0,0,---,0
109/08/10,---,---,---,---,0,0,---,0
109/08/11,---,---,---,---,0,0,---,0
