108/12/11,1.50,1.50,1.45,1.45,25000,37150,-0.14,4
108/12/12,1.44,1.44,1.37,1.37,65000,92450,-0.08,6
108/12/13,1.37,1.43,1.37,1.42,168000,236690,+0.05,10
108/12/16,1.47,1.70,1.43,1.58,274000,421330,+0.16,30
108/12/17,1.54,1.64,1.54,1.54,172000,270950,-0.04,19
108/12/18,1.56,1.56,1.49,1.49,88000,135570,-0.05,9
108/12/19,1.38,1.39,1.36,1.39,82000,111870,-0.10,4
108/12/20,1.30,1.30,1.30,1.30,4000,5200,-0.09,1
108/12/23,1.35,1.35,1.30,1.30,21000,27800,0.00,2
108/12/24,1.29,1.34,1.22,1.34,43000,55390,+0.04,7
108/12/25,1.37,1.37,1.35,1.35,20000,27200,+0.01,2
108/12/26,1.39,1.49,1.39,1.46,107000,154660,+0.11,13
108/12/27,1.47,1.50,1.46,1.50,70000,104270,+0.04,5
108/12/30,1.36,1.38,1.36,1.38,4000,5480,-0.12,2
108/12/31,1.40,1.43,1.40,1.43,14000,19670,+0.05,5
109/01/02,1.44,1.47,1.44,1.47,71000,102700,+0.04,5
109/01/03,1.37,1.37,1.15,1.15,60000,72000,-0.32,3
109/01/06,1.02,1.06,0.99,0.99,74000,76500,-0.16,7
109/01/07,1.02,1.02,0.82,0.83,105000,95130,-0.16,8
109/01/08,0.75,0.85,0.74,0.85,115000,91410,+0.02,8
109/01/09,0.87,0.88,0.83,0.83,216000,180840,-0.02,4
109/01/10,---,---,---,---,0,0,---,0
109/01/13,0.80,0.86,0.80,0.86,30000,24800,+0.08,3
109/01/14,0.83,0.87,0.83,0.87,43000,36010,+0.01,5
109/01/15,0.87,0.87,0.87,0.87,10000,8700,0.00,1
109/01/16,---,---,---,---,0,0,---,0
109/01/17,---,---,---,---,0,0,---,0
109/01/20,---,---,---,---,0,0,---,0
109/01/30,0.47,0.47,0.47,0.47,50000,23500,-0.27,5
109/01/31,0.53,0.53,0.43,0.43,30000,14600,-0.04,3
109/02/03,0.34,0.34,0.34,0.34,10000,3400,-0.09,1
109/02/04,0.43,0.43,0.43,0.43,10000,4300,+0.09,1
109/02/05,0.45,0.45,0.36,0.36,31000,12360,-0.07,3
109/02/06,0.37,0.50,0.37,0.50,151000,65380,+0.14,14
109/02/07,0.43,0.44,0.40,0.40,131000,56030,-0.10,11
109/02/10,0.33,0.40,0.33,0.35,90000,34000,-0.05,9
109/02/11,0.36,0.42,0.36,0.42,146000,57550,+0.07,30
109/02/12,0.38,0.45,0.38,0.43,186000,78250,+0.01,37
109/02/13,0.45,0.54,0.45,0.54,164000,79780,+0.11,23
109/02/14,0.42,0.45,0.42,0.45,113000,50500,-0.09,3
109/02/17,---,---,---,---,0,0,---,0
109/02/18,0.46,0.46,0.42,0.42,23000,10490,0.00,5
109/02/19,0.44,0.44,0.44,0.44,10000,4400,+0.02,1
109/02/20,0.43,0.45,0.43,0.45,30000,13300,+0.01,3
109/02/21,0.42,0.42,0.40,0.40,25000,10300,-0.05,3
109/02/24,0.35,0.35,0.35,0.35,21000,7350,-0.05,3
109/02/25,0.31,0.40,0.31,0.39,91000,34870,+0.04,11
109/02/26,0.37,0.45,0.37,0.45,169000,68540,+0.06,35
109/02/27,0.42,0.44,0.31,0.31,139000,48590,-0.14,6
109/03/02,0.27,0.34,0.27,0.34,60000,16900,+0.03,4
109/03/03,0.38,0.38,0.36,0.37,10000,3710,+0.03,10
109/03/04,---,---,---,---,0,0,---,0
109/03/05,---,---,---,---,0,0,---,0
109/03/06,---,---,---,---,0,0,---,0
109/03/09,---,---,---,---,0,0,---,0
109/03/10,---,---,---,---,0,0,---,0
109/03/11,---,---,---,---,0,0,---,0
109/03/12,---,---,---,---,0,0,---,0
109/03/13,---,---,---,---,0,0,---,0
109/03/16,---,---,---,---,0,0,---,0
109/03/17,---,---,---,---,0,0,---,0
109/03/18,---,---,---,---,0,0,---,0
109/03/19,---,---,---,---,0,0,---,0
109/03/20,---,---,---,---,0,0,---,0
109/03/23,---,---,---,---,0,0,---,0
109/03/24,---,---,---,---,0,0,---,0
109/03/25,---,---,---,---,0,0,---,0
109/03/26,---,---,---,---,0,0,---,0
109/03/27,---,---,---,---,0,0,---,0
109/03/30,---,---,---,---,0,0,---,0
109/03/31,---,---,---,---,0,0,---,0
109/04/01,---,---,---,---,0,0,---,0
109/04/06,---,---,---,---,0,0,---,0
109/04/07,---,---,---,---,0,0,---,0
109/04/08,---,---,---,---,0,0,---,0
109/04/09,---,---,---,---,0,0,---,0
109/04/10,---,---,---,---,0,0,---,0
109/04/13,0.10,0.10,0.10,0.10,20000,2000,0.00,1
109/04/14,---,---,---,---,0,0,---,0
109/04/15,---,---,---,---,0,0,---,0
109/04/16,---,---,---,---,0,0,---,0
109/04/17,---,---,---,---,0,0,---,0
109/04/20,---,---,---,---,0,0,---,0
109/04/21,---,---,---,---,0,0,---,0
109/04/22,---,---,---,---,0,0,---,0
109/04/23,0.20,0.20,0.18,0.18,50000,9600,+0.01,4
109/04/24,---,---,---,---,0,0,---,0
109/04/27,---,---,---,---,0,0,---,0
109/04/28,0.27,0.27,0.27,0.27,5000,1350,+0.10,1
109/04/29,0.20,0.20,0.20,0.20,10000,2000,-0.07,1
109/04/30,---,---,---,---,0,0,---,0
109/05/04,---,---,---,---,0,0,---,0
109/05/05,---,---,---,---,0,0,---,0
109/05/06,---,---,---,---,0,0,---,0
109/05/07,---,---,---,---,0,0,---,0
109/05/08,---,---,---,---,0,0,---,0
109/05/11,0.16,0.16,0.16,0.16,5000,800,0.00,1
109/05/12,---,---,---,---,0,0,---,0
109/05/13,---,---,---,---,0,0,---,0
109/05/14,---,---,---,---,0,0,---,0
109/05/15,---,---,---,---,0,0,---,0
109/05/18,---,---,---,---,0,0,---,0
109/05/19,---,---,---,---,0,0,---,0
