108/10/14,2.66,2.66,2.66,2.66,2000,5320,-0.51,1
108/10/15,2.25,2.31,2.14,2.28,207000,464980,-0.38,11
108/10/16,2.20,2.42,2.20,2.42,151000,334010,+0.14,5
108/10/17,2.30,2.30,2.28,2.28,35000,80400,-0.14,2
108/10/18,2.00,2.17,2.00,2.08,72000,150880,-0.20,4
108/10/21,2.00,2.00,1.85,1.85,90000,179250,-0.23,2
108/10/22,1.88,1.88,1.88,1.88,30000,56400,+0.03,1
108/10/23,2.04,2.13,2.04,2.13,38000,78660,+0.25,4
108/10/24,2.05,2.07,2.05,2.07,47000,96650,-0.06,3
108/10/25,1.93,1.94,1.93,1.94,20000,38750,-0.13,2
108/10/28,1.88,1.89,1.80,1.81,53000,97330,-0.13,4
108/10/29,1.71,1.77,1.67,1.70,278000,475700,-0.11,7
108/10/30,1.67,1.73,1.67,1.73,208000,353840,+0.03,4
108/10/31,1.79,1.93,1.79,1.91,95000,174200,+0.18,5
108/11/01,1.92,1.92,1.80,1.84,27000,50080,-0.07,4
108/11/04,1.80,1.81,1.79,1.81,115000,207000,-0.03,3
108/11/05,1.55,1.55,1.55,1.55,80000,124000,-0.26,1
108/11/06,1.45,1.47,1.45,1.47,47000,68590,-0.08,3
108/11/07,1.56,1.56,1.55,1.55,40000,62200,+0.08,4
108/11/08,1.75,1.80,1.75,1.80,110000,195500,+0.25,2
108/11/11,1.95,2.19,1.95,2.19,80000,161400,+0.39,3
108/11/12,---,---,---,---,0,0,---,0
108/11/13,2.07,2.07,2.07,2.07,30000,62100,+0.06,1
108/11/14,---,---,---,---,0,0,---,0
108/11/15,1.97,2.05,1.95,2.05,70000,140000,-0.01,4
108/11/18,1.98,1.98,1.98,1.98,10000,19800,-0.07,1
108/11/19,---,---,---,---,0,0,---,0
108/11/20,---,---,---,---,0,0,---,0
108/11/21,2.27,2.27,2.09,2.15,65000,139450,-0.06,4
108/11/22,1.99,1.99,1.99,1.99,20000,39800,-0.16,1
108/11/25,2.02,2.03,2.01,2.01,35000,70800,+0.02,3
108/11/26,1.90,1.90,1.89,1.90,55000,104400,-0.11,4
108/11/27,1.89,1.89,1.85,1.85,32000,60000,-0.05,3
108/11/28,1.82,1.87,1.82,1.87,12000,22020,+0.02,3
108/11/29,1.93,2.00,1.93,1.99,114000,223970,+0.12,4
108/12/02,1.97,2.16,1.87,1.87,165000,339400,-0.12,8
108/12/03,1.82,1.82,1.68,1.73,162000,284660,-0.14,7
108/12/04,1.54,1.54,1.53,1.53,7000,10730,-0.20,2
108/12/05,1.32,1.39,1.32,1.39,94000,127880,-0.14,3
108/12/06,1.32,1.32,1.32,1.32,2000,2640,-0.07,1
108/12/09,1.29,1.29,1.21,1.25,127000,156470,-0.07,3
108/12/10,1.20,1.20,1.19,1.19,65000,77550,-0.06,2
108/12/11,---,---,---,---,0,0,---,0
108/12/12,---,---,---,---,0,0,---,0
108/12/13,---,---,---,---,0,0,---,0
108/12/16,---,---,---,---,0,0,---,0
108/12/17,---,---,---,---,0,0,---,0
108/12/18,---,---,---,---,0,0,---,0
108/12/19,---,---,---,---,0,0,---,0
108/12/20,---,---,---,---,0,0,---,0
108/12/23,---,---,---,---,0,0,---,0
108/12/24,---,---,---,---,0,0,---,0
108/12/25,---,---,---,---,0,0,---,0
108/12/26,---,---,---,---,0,0,---,0
108/12/27,---,---,---,---,0,0,---,0
108/12/30,---,---,---,---,0,0,---,0
108/12/31,---,---,---,---,0,0,---,0
109/01/02,---,---,---,---,0,0,---,0
109/01/03,---,---,---,---,0,0,---,0
109/01/06,---,---,---,---,0,0,---,0
109/01/07,---,---,---,---,0,0,---,0
109/01/08,---,---,---,---,0,0,---,0
109/01/09,---,---,---,---,0,0,---,0
109/01/10,---,---,---,---,0,0,---,0
109/01/13,---,---,---,---,0,0,---,0
109/01/14,---,---,---,---,0,0,---,0
109/01/15,---,---,---,---,0,0,---,0
109/01/16,---,---,---,---,0,0,---,0
109/01/17,---,---,---,---,0,0,---,0
109/01/20,---,---,---,---,0,0,---,0
109/01/30,---,---,---,---,0,0,---,0
109/01/31,---,---,---,---,0,0,---,0
109/02/03,0.21,0.21,0.19,0.19,998000,199600,0.00,5
109/02/04,---,---,---,---,0,0,---,0
109/02/05,---,---,---,---,0,0,---,0
109/02/06,---,---,---,---,0,0,---,0
109/02/07,0.10,0.10,0.10,0.10,100000,10000,+0.01,1
109/02/10,---,---,---,---,0,0,---,0
109/02/11,---,---,---,---,0,0,---,0
109/02/12,0.05,0.05,0.05,0.05,100000,5000,-0.03,1
109/02/13,---,---,---,---,0,0,---,0
109/02/14,---,---,---,---,0,0,---,0
109/02/17,---,---,---,---,0,0,---,0
109/02/18,---,---,---,---,0,0,---,0
109/02/19,---,---,---,---,0,0,---,0
109/02/20,---,---,---,---,0,0,---,0
109/02/21,---,---,---,---,0,0,---,0
109/02/24,---,---,---,---,0,0,---,0
109/02/25,---,---,---,---,0,0,---,0
109/02/26,---,---,---,---,0,0,---,0
109/02/27,---,---,---,---,0,0,---,0
109/03/02,---,---,---,---,0,0,---,0
109/03/03,---,---,---,---,0,0,---,0
109/03/04,---,---,---,---,0,0,---,0
109/03/05,---,---,---,---,0,0,---,0
109/03/06,---,---,---,---,0,0,---,0
109/03/09,---,---,---,---,0,0,---,0
109/03/10,---,---,---,---,0,0,---,0
109/03/11,---,---,---,---,0,0,---,0
109/03/12,---,---,---,---,0,0,---,0
109/03/13,---,---,---,---,0,0,---,0
109/03/16,0.06,0.07,0.06,0.07,30000,1900,+0.05,3
109/03/17,---,---,---,---,0,0,---,0
109/03/18,---,---,---,---,0,0,---,0
109/03/19,---,---,---,---,0,0,---,0
