106/09/25,7.55,7.55,7.55,7.55,4000,30200,-0.15,4
106/09/26,---,---,---,---,0,0,---,0
106/09/27,---,---,---,---,0,0,---,0
106/09/28,---,---,---,---,0,0,---,0
106/09/29,---,---,---,---,0,0,---,0
106/09/30,---,---,---,---,0,0,---,0
106/10/02,---,---,---,---,0,0,---,0
106/10/03,---,---,---,---,0,0,---,0
106/10/05,---,---,---,---,0,0,---,0
106/10/06,---,---,---,---,0,0,---,0
106/10/11,---,---,---,---,0,0,---,0
106/10/12,7.70,7.70,7.70,7.70,3000,23100,+0.15,2
106/10/13,7.65,7.65,7.65,7.65,3000,22950,-0.05,2
106/10/16,---,---,---,---,0,0,---,0
106/10/17,---,---,---,---,0,0,---,0
106/10/18,---,---,---,---,0,0,---,0
106/10/19,---,---,---,---,0,0,---,0
106/10/20,---,---,---,---,0,0,---,0
106/10/23,7.75,7.75,7.75,7.75,1000,7750,+0.05,1
106/10/24,7.75,7.75,7.75,7.75,1000,7750,0.00,1
106/10/25,---,---,---,---,0,0,---,0
106/10/26,7.80,7.90,7.80,7.90,2000,15700,+0.15,2
106/10/27,8.05,8.05,8.05,8.05,2000,16100,+0.15,2
106/10/30,---,---,---,---,0,0,---,0
106/10/31,---,---,---,---,0,0,---,0
106/11/01,---,---,---,---,0,0,---,0
106/11/02,---,---,---,---,0,0,---,0
106/11/03,---,---,---,---,0,0,---,0
106/11/06,---,---,---,---,0,0,---,0
106/11/07,---,---,---,---,0,0,---,0
106/11/08,8.90,8.90,8.85,8.85,19000,169050,+0.60,3
106/11/09,9.00,9.00,9.00,9.00,13000,117000,+0.15,1
106/11/10,---,---,---,---,0,0,---,0
106/11/13,---,---,---,---,0,0,---,0
106/11/14,8.80,8.80,8.80,8.80,2000,17600,+0.15,1
106/11/15,8.70,8.70,8.70,8.70,1000,8700,-0.10,1
106/11/16,8.60,8.70,8.60,8.70,2000,17300,0.00,2
106/11/17,9.10,9.10,9.10,9.10,32000,291200,+0.40,1
106/11/20,9.15,9.15,9.15,9.15,32000,292800,+0.05,1
106/11/21,10.70,10.70,10.70,10.70,5000,53500,+1.55,1
106/11/22,11.60,11.60,11.20,11.20,6000,68900,+0.50,3
106/11/23,11.80,12.00,11.80,12.00,3000,35600,+0.80,2
106/11/24,11.50,11.50,11.50,11.50,7000,80500,-0.50,1
106/11/27,---,---,---,---,0,0,---,0
106/11/28,---,---,---,---,0,0,---,0
106/11/29,---,---,---,---,0,0,---,0
106/11/30,---,---,---,---,0,0,---,0
106/12/01,11.60,11.70,11.50,11.50,5000,58000,-0.30,4
106/12/04,11.10,11.10,11.10,11.10,1000,11100,-0.40,1
106/12/05,---,---,---,---,0,0,---,0
106/12/06,---,---,---,---,0,0,---,0
106/12/07,9.70,9.70,9.55,9.55,5000,48200,-1.15,2
106/12/08,---,---,---,---,0,0,---,0
106/12/11,---,---,---,---,0,0,---,0
106/12/12,---,---,---,---,0,0,---,0
106/12/13,---,---,---,---,0,0,---,0
106/12/14,---,---,---,---,0,0,---,0
106/12/15,---,---,---,---,0,0,---,0
106/12/18,---,---,---,---,0,0,---,0
106/12/19,---,---,---,---,0,0,---,0
106/12/20,---,---,---,---,0,0,---,0
106/12/21,---,---,---,---,0,0,---,0
106/12/22,---,---,---,---,0,0,---,0
106/12/25,---,---,---,---,0,0,---,0
106/12/26,---,---,---,---,0,0,---,0
106/12/27,---,---,---,---,0,0,---,0
106/12/28,---,---,---,---,0,0,---,0
106/12/29,---,---,---,---,0,0,---,0
107/01/02,---,---,---,---,0,0,---,0
107/01/03,---,---,---,---,0,0,---,0
107/01/04,---,---,---,---,0,0,---,0
107/01/05,---,---,---,---,0,0,---,0
107/01/08,---,---,---,---,0,0,---,0
107/01/09,---,---,---,---,0,0,---,0
107/01/10,---,---,---,---,0,0,---,0
107/01/11,---,---,---,---,0,0,---,0
107/01/12,---,---,---,---,0,0,---,0
107/01/15,---,---,---,---,0,0,---,0
107/01/16,---,---,---,---,0,0,---,0
107/01/17,---,---,---,---,0,0,---,0
107/01/18,---,---,---,---,0,0,---,0
107/01/19,---,---,---,---,0,0,---,0
107/01/22,10.80,10.80,10.80,10.80,1000,10800,-0.10,1
107/01/23,---,---,---,---,0,0,---,0
107/01/24,---,---,---,---,0,0,---,0
107/01/25,---,---,---,---,0,0,---,0
107/01/26,---,---,---,---,0,0,---,0
107/01/29,---,---,---,---,0,0,---,0
107/01/30,---,---,---,---,0,0,---,0
107/01/31,---,---,---,---,0,0,---,0
107/02/01,---,---,---,---,0,0,---,0
107/02/02,---,---,---,---,0,0,---,0
107/02/05,9.65,9.65,9.65,9.65,1000,9650,-0.55,1
107/02/06,---,---,---,---,0,0,---,0
107/02/07,---,---,---,---,0,0,---,0
107/02/08,---,---,---,---,0,0,---,0
107/02/09,---,---,---,---,0,0,---,0
107/02/12,---,---,---,---,0,0,---,0
107/02/21,10.30,10.30,10.30,10.30,1000,10300,+0.65,1
107/02/22,---,---,---,---,0,0,---,0
107/02/23,---,---,---,---,0,0,---,0
107/02/26,---,---,---,---,0,0,---,0
107/02/27,---,---,---,---,0,0,---,0
107/03/01,---,---,---,---,0,0,---,0
107/03/02,---,---,---,---,0,0,---,0
107/03/05,9.10,9.10,9.10,9.10,1000,9100,+0.05,1
107/03/06,---,---,---,---,0,0,---,0
107/03/07,---,---,---,---,0,0,---,0
107/03/08,---,---,---,---,0,0,---,0
107/03/09,---,---,---,---,0,0,---,0
107/03/12,---,---,---,---,0,0,---,0
107/03/13,---,---,---,---,0,0,---,0
107/03/14,---,---,---,---,0,0,---,0
107/03/15,---,---,---,---,0,0,---,0
107/03/16,---,---,---,---,0,0,---,0
107/03/19,---,---,---,---,0,0,---,0
107/03/20,---,---,---,---,0,0,---,0
107/03/21,---,---,---,---,0,0,---,0
107/03/22,---,---,---,---,0,0,---,0
107/03/23,---,---,---,---,0,0,---,0
107/03/26,---,---,---,---,0,0,---,0
107/03/27,---,---,---,---,0,0,---,0
107/03/28,9.95,9.95,9.95,9.95,1000,9950,-0.15,1
107/03/29,---,---,---,---,0,0,---,0
107/03/30,10.60,10.60,10.60,10.60,1000,10600,+0.75,1
107/03/31,---,---,---,---,0,0,---,0
107/04/02,---,---,---,---,0,0,---,0
107/04/03,---,---,---,---,0,0,---,0
107/04/09,9.80,9.85,9.80,9.85,2000,19650,-0.25,2
107/04/10,---,---,---,---,0,0,---,0
107/04/11,---,---,---,---,0,0,---,0
107/04/12,---,---,---,---,0,0,---,0
107/04/13,9.95,9.95,9.95,9.95,1000,9950,0.00,1
107/04/16,9.75,9.75,9.75,9.75,1000,9750,-0.20,1
107/04/17,---,---,---,---,0,0,---,0
107/04/18,10.00,10.00,10.00,10.00,1000,10000,+0.25,1
107/04/19,---,---,---,---,0,0,---,0
107/04/20,---,---,---,---,0,0,---,0
107/04/23,---,---,---,---,0,0,---,0
107/04/24,9.20,9.20,9.20,9.20,1000,9200,-0.45,1
107/04/25,---,---,---,---,0,0,---,0
107/04/26,---,---,---,---,0,0,---,0
107/04/27,---,---,---,---,0,0,---,0
107/04/30,---,---,---,---,0,0,---,0
107/05/02,---,---,---,---,0,0,---,0
107/05/03,---,---,---,---,0,0,---,0
107/05/04,---,---,---,---,0,0,---,0
107/05/07,8.85,8.85,8.85,8.85,1000,8850,+0.05,1
107/05/08,---,---,---,---,0,0,---,0
107/05/09,---,---,---,---,0,0,---,0
107/05/10,---,---,---,---,0,0,---,0
107/05/11,---,---,---,---,0,0,---,0
107/05/14,---,---,---,---,0,0,---,0
107/05/15,---,---,---,---,0,0,---,0
107/05/16,9.50,9.50,9.50,9.50,1000,9500,0.00,1
107/05/17,---,---,---,---,0,0,---,0
107/05/18,---,---,---,---,0,0,---,0
107/05/21,---,---,---,---,0,0,---,0
107/05/22,---,---,---,---,0,0,---,0
107/05/23,---,---,---,---,0,0,---,0
107/05/24,9.70,9.70,9.70,9.70,1000,9700,+0.25,1
107/05/25,---,---,---,---,0,0,---,0
107/05/28,---,---,---,---,0,0,---,0
107/05/29,10.40,10.40,10.30,10.30,5000,51600,+0.30,4
107/05/30,10.20,10.20,10.20,10.20,3000,30600,-0.10,2
107/05/31,---,---,---,---,0,0,---,0
107/06/01,---,---,---,---,0,0,---,0
107/06/04,---,---,---,---,0,0,---,0
107/06/05,10.00,10.00,10.00,10.00,4000,40000,-0.20,3
107/06/06,---,---,---,---,0,0,---,0
107/06/07,---,---,---,---,0,0,---,0
107/06/08,---,---,---,---,0,0,---,0
107/06/11,11.40,11.40,11.40,11.40,1000,11400,+0.90,1
107/06/12,10.90,10.90,10.90,10.90,3000,32700,-0.50,3
107/06/13,11.80,11.80,11.80,11.80,7000,82600,+0.90,2
107/06/14,---,---,---,---,0,0,---,0
107/06/15,---,---,---,---,0,0,---,0
107/06/19,10.70,10.70,10.70,10.70,4000,42800,-0.60,1
107/06/20,10.60,10.60,10.60,10.60,4000,42400,-0.10,3
107/06/21,---,---,---,---,0,0,---,0
107/06/22,10.50,10.50,10.50,10.50,7000,73500,-0.40,1
107/06/25,---,---,---,---,0,0,---,0
107/06/26,---,---,---,---,0,0,---,0
107/06/27,---,---,---,---,0,0,---,0
107/06/28,---,---,---,---,0,0,---,0
107/06/29,---,---,---,---,0,0,---,0
107/07/02,---,---,---,---,0,0,---,0
107/07/03,---,---,---,---,0,0,---,0
107/07/04,---,---,---,---,0,0,---,0
107/07/05,---,---,---,---,0,0,---,0
107/07/06,---,---,---,---,0,0,---,0
107/07/09,---,---,---,---,0,0,---,0
107/07/10,---,---,---,---,0,0,---,0
107/07/11,11.50,11.50,11.50,11.50,1000,11500,-0.20,1
107/07/12,---,---,---,---,0,0,---,0
107/07/13,---,---,---,---,0,0,---,0
107/07/16,---,---,---,---,0,0,---,0
107/07/17,12.00,12.00,12.00,12.00,4000,48000,-0.10,1
107/07/18,12.90,12.90,12.90,12.90,2000,25800,+0.90,1
107/07/19,---,---,---,---,0,0,---,0
107/07/20,---,---,---,---,0,0,---,0
107/07/23,---,---,---,---,0,0,---,0
107/07/24,---,---,---,---,0,0,---,0
107/07/25,---,---,---,---,0,0,---,0
107/07/26,---,---,---,---,0,0,---,0
107/07/27,---,---,---,---,0,0,---,0
107/07/30,---,---,---,---,0,0,---,0
107/07/31,---,---,---,---,0,0,---,0
107/08/01,---,---,---,---,0,0,---,0
107/08/02,---,---,---,---,0,0,---,0
107/08/03,---,---,---,---,0,0,---,0
107/08/06,---,---,---,---,0,0,---,0
107/08/07,14.10,14.10,14.00,14.00,4000,56100,+0.20,3
107/08/08,14.90,14.90,14.90,14.90,4000,59600,+0.90,1
107/08/09,15.30,15.30,15.30,15.30,4000,61200,+0.40,1
107/08/10,---,---,---,---,0,0,---,0
107/08/13,---,---,---,---,0,0,---,0
107/08/14,---,---,---,---,0,0,---,0
107/08/15,---,---,---,---,0,0,---,0
107/08/16,---,---,---,---,0,0,---,0
107/08/17,---,---,---,---,0,0,---,0
107/08/20,13.00,13.00,13.00,13.00,1000,13000,-0.60,1
107/08/21,---,---,---,---,0,0,---,0
107/08/22,---,---,---,---,0,0,---,0
107/08/23,---,---,---,---,0,0,---,0
107/08/24,---,---,---,---,0,0,---,0
107/08/27,---,---,---,---,0,0,---,0
107/08/28,---,---,---,---,0,0,---,0
107/08/29,---,---,---,---,0,0,---,0
107/08/30,---,---,---,---,0,0,---,0
107/08/31,---,---,---,---,0,0,---,0
107/09/03,---,---,---,---,0,0,---,0
107/09/04,---,---,---,---,0,0,---,0
107/09/05,---,---,---,---,0,0,---,0
107/09/06,---,---,---,---,0,0,---,0
107/09/07,---,---,---,---,0,0,---,0
107/09/10,---,---,---,---,0,0,---,0
107/09/11,---,---,---,---,0,0,---,0
107/09/12,---,---,---,---,0,0,---,0
107/09/13,10.00,10.00,10.00,10.00,1000,10000,0.00,1
107/09/14,---,---,---,---,0,0,---,0
107/09/17,---,---,---,---,0,0,---,0
107/09/18,10.70,10.80,10.70,10.80,3000,32200,-0.30,3
107/09/19,---,---,---,---,0,0,---,0
107/09/20,---,---,---,---,0,0,---,0
107/09/21,12.10,12.30,12.10,12.30,6000,73600,+1.00,2
107/09/25,---,---,---,---,0,0,---,0
107/09/26,---,---,---,---,0,0,---,0
107/09/27,---,---,---,---,0,0,---,0
107/09/28,---,---,---,---,0,0,---,0
107/10/01,---,---,---,---,0,0,---,0
107/10/02,---,---,---,---,0,0,---,0
107/10/03,---,---,---,---,0,0,---,0
107/10/04,---,---,---,---,0,0,---,0
107/10/05,---,---,---,---,0,0,---,0
107/10/08,---,---,---,---,0,0,---,0
107/10/09,---,---,---,---,0,0,---,0
107/10/11,---,---,---,---,0,0,---,0
107/10/12,---,---,---,---,0,0,---,0
107/10/15,8.65,8.80,8.65,8.80,7000,60700,+0.10,4
107/10/16,---,---,---,---,0,0,---,0
107/10/17,8.85,9.50,8.85,9.50,4000,37350,+1.15,4
107/10/18,---,---,---,---,0,0,---,0
107/10/19,---,---,---,---,0,0,---,0
107/10/22,9.00,9.00,9.00,9.00,1000,9000,-0.35,1
107/10/23,---,---,---,---,0,0,---,0
107/10/24,---,---,---,---,0,0,---,0
107/10/25,---,---,---,---,0,0,---,0
107/10/26,7.05,7.05,6.60,6.65,3000,20300,0.00,3
107/10/29,6.95,6.95,6.95,6.95,10000,69500,+0.30,1
107/10/30,7.10,7.70,7.10,7.70,12000,85800,+0.75,3
107/10/31,8.20,8.20,8.20,8.20,1000,8200,+0.50,1
107/11/01,---,---,---,---,0,0,---,0
107/11/02,---,---,---,---,0,0,---,0
107/11/05,9.60,9.70,9.30,9.70,5000,47600,0.00,3
107/11/06,9.25,9.65,9.25,9.65,2000,18900,-0.05,2
107/11/07,9.65,10.00,9.65,10.00,2000,19650,+0.35,2
107/11/08,10.00,10.20,10.00,10.20,2000,20200,+0.20,2
107/11/09,10.00,10.00,9.70,9.70,2000,19700,-0.50,2
107/11/12,---,---,---,---,0,0,---,0
107/11/13,9.40,9.65,9.40,9.60,3000,28650,+0.10,3
107/11/14,---,---,---,---,0,0,---,0
107/11/15,---,---,---,---,0,0,---,0
107/11/16,---,---,---,---,0,0,---,0
107/11/19,---,---,---,---,0,0,---,0
107/11/20,---,---,---,---,0,0,---,0
107/11/21,---,---,---,---,0,0,---,0
107/11/22,---,---,---,---,0,0,---,0
107/11/23,9.70,9.70,9.70,9.70,1000,9700,-0.30,1
107/11/26,9.75,9.75,9.50,9.50,4000,38500,-0.20,2
107/11/27,---,---,---,---,0,0,---,0
107/11/28,10.70,10.70,10.70,10.70,1000,10700,+0.75,1
107/11/29,10.70,10.70,10.60,10.60,2000,21300,-0.10,2
107/11/30,10.70,10.70,10.70,10.70,1000,10700,+0.10,1
107/12/03,11.60,11.60,11.60,11.60,1000,11600,+0.90,1
107/12/04,11.30,11.30,11.30,11.30,1000,11300,-0.30,1
107/12/05,10.70,10.70,10.70,10.70,7000,74900,-0.60,1
107/12/06,---,---,---,---,0,0,---,0
107/12/07,---,---,---,---,0,0,---,0
107/12/10,---,---,---,---,0,0,---,0
107/12/11,9.10,9.10,9.10,9.10,1000,9100,+0.20,1
107/12/12,9.85,9.85,9.85,9.85,1000,9850,+0.75,1
107/12/13,---,---,---,---,0,0,---,0
107/12/14,---,---,---,---,0,0,---,0
107/12/17,---,---,---,---,0,0,---,0
107/12/18,---,---,---,---,0,0,---,0
107/12/19,11.30,11.30,10.60,10.60,11000,121500,+0.20,2
107/12/20,10.40,10.40,10.20,10.20,10000,103400,-0.40,2
107/12/21,---,---,---,---,0,0,---,0
107/12/22,---,---,---,---,0,0,---,0
107/12/24,---,---,---,---,0,0,---,0
107/12/25,---,---,---,---,0,0,---,0
107/12/26,---,---,---,---,0,0,---,0
107/12/27,---,---,---,---,0,0,---,0
107/12/28,9.35,9.35,9.35,9.35,1000,9350,-0.25,1
108/01/02,---,---,---,---,0,0,---,0
108/01/03,---,---,---,---,0,0,---,0
108/01/04,8.70,8.80,8.70,8.75,5000,43750,-0.70,4
108/01/07,9.00,9.00,9.00,9.00,3000,27000,+0.25,2
108/01/08,9.10,9.10,8.80,8.80,4000,35800,-0.20,2
108/01/09,8.90,8.90,8.90,8.90,1000,8900,+0.10,1
108/01/10,---,---,---,---,0,0,---,0
108/01/11,8.70,8.70,8.70,8.70,1000,8700,+0.20,1
108/01/14,8.20,8.20,8.15,8.15,6000,49100,-0.55,3
108/01/15,8.50,8.50,8.50,8.50,1000,8500,+0.35,1
108/01/16,---,---,---,---,0,0,---,0
108/01/17,---,---,---,---,0,0,---,0
108/01/18,9.40,9.40,9.40,9.40,3000,28200,+0.55,1
108/01/21,9.55,9.55,9.55,9.55,2000,19100,+0.15,1
108/01/22,9.75,9.75,9.75,9.75,3000,29250,+0.20,2
108/01/23,---,---,---,---,0,0,---,0
108/01/24,---,---,---,---,0,0,---,0
108/01/25,10.20,10.20,10.20,10.20,1000,10200,+0.35,1
108/01/28,11.00,11.00,10.70,10.70,23000,248800,+0.50,3
108/01/29,---,---,---,---,0,0,---,0
108/01/30,---,---,---,---,0,0,---,0
108/02/11,---,---,---,---,0,0,---,0
108/02/12,10.50,10.50,10.50,10.50,2000,21000,-0.40,1
108/02/13,---,---,---,---,0,0,---,0
108/02/14,10.90,10.90,10.80,10.80,18000,195200,+0.60,4
108/02/15,11.10,11.10,11.00,11.00,4000,44300,+0.20,2
108/02/18,11.80,12.00,11.50,11.50,22000,258900,+0.50,10
108/02/19,11.30,11.30,11.00,11.30,40000,444900,-0.20,15
108/02/20,11.40,11.40,11.10,11.10,33000,368900,-0.20,14
108/02/21,11.40,11.40,11.20,11.20,26000,293000,+0.10,9
108/02/22,11.20,11.20,10.90,10.90,24000,264000,-0.30,10
108/02/25,11.10,11.10,11.00,11.10,37000,408000,+0.20,9
108/02/26,11.00,12.10,11.00,12.10,14000,163300,+1.00,10
108/02/27,11.50,11.70,11.50,11.70,23000,265400,-0.40,5
108/03/04,12.10,12.60,12.00,12.10,13000,158800,+0.40,8
108/03/05,12.10,12.10,12.10,12.10,5000,60500,0.00,2
108/03/06,12.10,12.30,11.90,12.30,20000,241800,+0.20,9
108/03/07,12.10,12.10,11.90,11.90,12000,144000,-0.40,6
108/03/08,11.50,11.50,11.20,11.30,24000,271700,-0.60,10
108/03/11,11.20,11.20,11.00,11.00,35000,387500,-0.30,10
108/03/12,11.20,11.20,11.10,11.10,22000,244400,+0.10,6
108/03/13,11.20,11.20,11.20,11.20,14000,156800,+0.10,4
108/03/14,11.20,11.20,11.10,11.10,4000,44600,-0.10,2
108/03/15,11.30,11.30,11.10,11.10,13000,145100,0.00,7
108/03/18,11.00,11.00,10.90,10.90,9000,98600,-0.20,4
108/03/19,11.00,11.00,11.00,11.00,10000,110000,+0.10,4
108/03/20,11.20,11.20,11.20,11.20,11000,123200,+0.20,4
108/03/21,---,---,---,---,0,0,---,0
108/03/22,11.50,11.50,11.50,11.50,1000,11500,+0.30,1
108/03/25,11.60,11.60,11.60,11.60,1000,11600,+0.10,1
108/03/26,---,---,---,---,0,0,---,0
108/03/27,11.50,11.50,11.50,11.50,1000,11500,-0.10,1
108/03/28,---,---,---,---,0,0,---,0
108/03/29,11.00,11.50,11.00,11.50,2000,22500,0.00,2
108/04/01,---,---,---,---,0,0,---,0
108/04/02,12.60,12.60,12.60,12.60,3000,37800,+1.10,2
108/04/03,11.70,11.70,11.70,11.70,3000,35100,-0.90,2
108/04/08,13.00,13.00,12.90,12.90,6000,77600,+1.20,4
108/04/09,11.50,11.50,11.50,11.50,8000,92000,-1.40,1
108/04/10,---,---,---,---,0,0,---,0
108/04/11,11.40,11.40,11.40,11.40,3000,34200,-0.10,2
108/04/12,---,---,---,---,0,0,---,0
108/04/15,---,---,---,---,0,0,---,0
108/04/16,---,---,---,---,0,0,---,0
108/04/17,---,---,---,---,0,0,---,0
108/04/18,12.90,12.90,12.80,12.80,3000,38500,+1.10,2
108/04/19,---,---,---,---,0,0,---,0
108/04/22,---,---,---,---,0,0,---,0
108/04/23,---,---,---,---,0,0,---,0
108/04/24,---,---,---,---,0,0,---,0
108/04/25,---,---,---,---,0,0,---,0
108/04/26,---,---,---,---,0,0,---,0
108/04/29,---,---,---,---,0,0,---,0
108/04/30,---,---,---,---,0,0,---,0
108/05/02,---,---,---,---,0,0,---,0
108/05/03,---,---,---,---,0,0,---,0
108/05/06,---,---,---,---,0,0,---,0
108/05/07,---,---,---,---,0,0,---,0
108/05/08,---,---,---,---,0,0,---,0
108/05/09,---,---,---,---,0,0,---,0
108/05/10,---,---,---,---,0,0,---,0
108/05/13,---,---,---,---,0,0,---,0
108/05/14,---,---,---,---,0,0,---,0
108/05/15,---,---,---,---,0,0,---,0
108/05/16,---,---,---,---,0,0,---,0
108/05/17,---,---,---,---,0,0,---,0
108/05/20,---,---,---,---,0,0,---,0
108/05/21,9.70,9.70,9.70,9.70,2000,19400,-1.30,1
108/05/22,---,---,---,---,0,0,---,0
108/05/23,---,---,---,---,0,0,---,0
108/05/24,---,---,---,---,0,0,---,0
108/05/27,---,---,---,---,0,0,---,0
108/05/28,---,---,---,---,0,0,---,0
108/05/29,9.25,9.25,9.20,9.20,11000,101300,-0.45,5
108/05/30,9.15,9.15,9.05,9.05,8000,72700,-0.15,4
108/05/31,9.05,9.20,9.05,9.20,21000,190500,+0.15,6
108/06/03,---,---,---,---,0,0,---,0
108/06/04,9.50,9.50,9.50,9.50,4000,38000,+0.25,2
108/06/05,9.25,9.25,9.25,9.25,2000,18500,-0.25,1
108/06/06,9.00,9.00,9.00,9.00,12000,108000,-0.25,1
108/06/10,9.55,9.55,9.55,9.55,2000,19100,+0.55,1
108/06/11,9.50,9.50,9.50,9.50,2000,19000,-0.05,1
108/06/12,---,---,---,---,0,0,---,0
108/06/13,9.60,9.60,9.60,9.60,2000,19200,+0.10,1
108/06/14,---,---,---,---,0,0,---,0
108/06/17,9.90,9.90,9.90,9.90,2000,19800,+0.30,1
108/06/18,9.75,9.75,9.75,9.75,2000,19500,-0.15,1
108/06/19,---,---,---,---,0,0,---,0
108/06/20,---,---,---,---,0,0,---,0
108/06/21,---,---,---,---,0,0,---,0
108/06/24,---,---,---,---,0,0,---,0
108/06/25,---,---,---,---,0,0,---,0
108/06/26,---,---,---,---,0,0,---,0
108/06/27,---,---,---,---,0,0,---,0
108/06/28,---,---,---,---,0,0,---,0
108/07/01,---,---,---,---,0,0,---,0
108/07/02,---,---,---,---,0,0,---,0
108/07/03,---,---,---,---,0,0,---,0
108/07/04,---,---,---,---,0,0,---,0
108/07/05,---,---,---,---,0,0,---,0
108/07/08,---,---,---,---,0,0,---,0
108/07/09,---,---,---,---,0,0,---,0
108/07/10,---,---,---,---,0,0,---,0
108/07/11,---,---,---,---,0,0,---,0
108/07/12,---,---,---,---,0,0,---,0
108/07/15,---,---,---,---,0,0,---,0
108/07/16,---,---,---,---,0,0,---,0
108/07/17,---,---,---,---,0,0,---,0
108/07/18,---,---,---,---,0,0,---,0
108/07/19,---,---,---,---,0,0,---,0
108/07/22,---,---,---,---,0,0,---,0
108/07/23,---,---,---,---,0,0,---,0
108/07/24,---,---,---,---,0,0,---,0
108/07/25,---,---,---,---,0,0,---,0
